$SUMMARY
Experiment Type : Continuous Scan
Experiment Name : buffer, Number : 61
Experiment Description : Tris 10mM, EDTA 0.5 mM, KCl 10 mM
Software Version : v2.03
Experiment start time : 01/12/2009  17:25:57
Temp. Setpoint   : 25.00 deg C
Scan Start : 60.000 deg.
Scan End   : 70.000 deg.
Scan Step  :  0.001 deg.
Scan Rate  : 25.000 deg./min.
Number of Repeats : 1
Wait Time Between Repeats  : 0.100 sec
Prism Position   : Sample Position
Laser/Polarization : GREEN S
Sample Temperature : 25.05 degC.
Normalization:
Normalize 0 pct. Value (Dark Sample) = -0.001
Normalize 0 pct. Value (Dark Ref.) = -0.000
RED Correction:
Normalize Angle = 65.000
Normalize 100 pct. Value P = 3.198596
Normalize 100 pct. Value S = 3.115587
Initial Reference Value P = 4.013322
Initial Reference Value S = 3.843939
GREEN Correction:
Normalize Angle = 65.000
Normalize 100 pct. Value P = 2.741905
Normalize 100 pct. Value S = 2.484425
Initial Reference Value P = 2.813556
Initial Reference Value S = 2.615177
65 deg Start of Scan Raw Sample =   2.5010
65 deg Start of Scan Raw Reference =   2.6410
65 deg Start of Scan Reflectance =   2.4775

$DATA
$MDCNAME:
$MDCDATA:1:2:3
 X	Reflectance	Raw_Sample	Raw_Reference
60.11184 	0.96245  	2.47751  	2.64045  
60.11293 	0.96423  	2.47770  	2.63777  
60.11403 	0.96555  	2.47746  	2.63572  
60.11496 	0.96469  	2.47792  	2.63674  
60.11606 	0.96435  	2.47785  	2.63700  
60.11716 	0.96311  	2.47873  	2.63916  
60.11810 	0.96258  	2.47862  	2.64019  
60.11919 	0.96161  	2.47644  	2.64014  
60.12029 	0.96172  	2.47559  	2.63997  
60.12138 	0.96222  	2.47690  	2.64034  
60.12233 	0.96426  	2.47711  	2.63779  
60.12342 	0.96534  	2.47788  	2.63700  
60.12452 	0.96551  	2.47873  	2.63788  
60.12545 	0.96568  	2.47748  	2.63690  
60.12655 	0.96380  	2.47820  	2.63966  
60.12765 	0.96223  	2.47659  	2.64051  
60.12874 	0.96220  	2.47500  	2.63931  
60.12968 	0.96261  	2.47690  	2.63934  
60.13078 	0.96343  	2.47818  	2.63851  
60.13187 	0.96437  	2.47840  	2.63709  
60.13281 	0.96440  	2.47777  	2.63659  
60.13391 	0.96418  	2.47738  	2.63642  
60.13500 	0.96352  	2.47809  	2.63796  
60.13610 	0.96157  	2.47855  	2.64102  
60.13704 	0.96078  	2.47679  	2.64132  
60.13813 	0.96128  	2.47476  	2.64021  
60.13923 	0.96249  	2.47502  	2.63886  
60.14017 	0.96343  	2.47696  	2.63881  
60.14127 	0.96415  	2.47831  	2.63873  
60.14236 	0.96505  	2.47775  	2.63720  
60.14346 	0.96462  	2.47799  	2.63783  
60.14440 	0.96352  	2.47853  	2.63945  
60.14549 	0.96253  	2.47788  	2.64034  
60.14659 	0.96129  	2.47570  	2.64073  
60.14753 	0.96170  	2.47511  	2.63964  
60.14862 	0.96361  	2.47735  	2.63792  
60.14972 	0.96373  	2.47894  	2.63827  
60.15081 	0.96411  	2.47755  	2.63698  
60.15175 	0.96421  	2.47805  	2.63714  
60.15285 	0.96376  	2.47884  	2.63862  
60.15395 	0.96231  	2.47799  	2.64049  
60.15488 	0.96241  	2.47587  	2.63951  
60.15598 	0.96304  	2.47672  	2.63953  
60.15707 	0.96402  	2.47770  	2.63881  
60.15817 	0.96440  	2.47820  	2.63862  
60.15911 	0.96440  	2.47803  	2.63849  
60.16020 	0.96480  	2.47781  	2.63788  
60.16130 	0.96559  	2.47942  	2.63772  
60.16224 	0.96360  	2.47875  	2.63990  
60.16333 	0.96223  	2.47720  	2.64058  
60.16443 	0.96253  	2.47600  	2.63945  
60.16552 	0.96307  	2.47740  	2.63918  
60.16646 	0.96367  	2.47770  	2.63812  
60.16756 	0.96410  	2.47820  	2.63781  
60.16866 	0.96460  	2.47738  	2.63698  
60.16959 	0.96470  	2.47755  	2.63707  
60.17069 	0.96380  	2.47838  	2.63888  
60.17178 	0.96231  	2.47722  	2.64058  
