$SUMMARY
Experiment Type : Continuous Scan
Experiment Name : egg PC, Number : 40
Experiment Description : 
Software Version : v2.03
Experiment start time : 01/12/2009  14:02:54
Temp. Setpoint   : 25.00 deg C
Scan Start : 60.000 deg.
Scan End   : 70.000 deg.
Scan Step  :  0.001 deg.
Scan Rate  : 25.000 deg./min.
Number of Repeats : 1
Wait Time Between Repeats  : 0.100 sec
Prism Position   : Sample Position
Laser/Polarization : GREEN P
Sample Temperature : 25.04 degC.
Normalization:
Normalize 0 pct. Value (Dark Sample) = -0.001
Normalize 0 pct. Value (Dark Ref.) = -0.000
RED Correction:
Normalize Angle = 65.000
Normalize 100 pct. Value P = 3.392844
Normalize 100 pct. Value S = 3.307350
Initial Reference Value P = 4.022547
Initial Reference Value S = 3.858709
GREEN Correction:
Normalize Angle = 65.000
Normalize 100 pct. Value P = 2.969579
Normalize 100 pct. Value S = 2.658902
Initial Reference Value P = 2.722457
Initial Reference Value S = 2.508218
65 deg Start of Scan Raw Sample =   2.8304
65 deg Start of Scan Raw Reference =   2.7960
65 deg Start of Scan Reflectance =   2.7569

$DATA
$MDCNAME:
$MDCDATA:1:2:3
 X	Reflectance	Raw_Sample	Raw_Reference
60.11293 	0.86238  	2.38063  	2.80152  
60.11403 	0.86275  	2.38118  	2.80145  
60.11496 	0.86308  	2.38118  	2.80084  
60.11606 	0.86316  	2.38157  	2.80115  
60.11716 	0.86271  	2.38199  	2.80234  
60.11825 	0.86233  	2.38000  	2.80213  
60.11919 	0.86270  	2.37841  	2.80075  
60.12029 	0.86264  	2.37723  	2.79997  
60.12138 	0.86189  	2.37806  	2.80132  
60.12232 	0.86182  	2.37752  	2.80084  
60.12342 	0.86188  	2.37854  	2.80117  
60.12451 	0.86180  	2.38118  	2.80241  
60.12561 	0.86215  	2.38181  	2.80208  
60.12655 	0.86209  	2.38135  	2.80197  
60.12764 	0.86211  	2.38077  	2.80186  
60.12874 	0.86226  	2.38033  	2.80160  
60.12968 	0.86205  	2.37902  	2.80158  
60.13078 	0.86211  	2.37817  	2.80167  
60.13187 	0.86200  	2.37813  	2.80176  
60.13297 	0.86251  	2.37928  	2.80189  
60.13391 	0.86277  	2.37989  	2.80224  
60.13500 	0.86297  	2.38124  	2.80309  
60.13610 	0.86287  	2.38142  	2.80324  
60.13704 	0.86338  	2.38042  	2.80184  
60.13813 	0.86227  	2.37952  	2.80232  
60.13923 	0.86102  	2.37941  	2.80328  
60.14032 	0.86059  	2.37704  	2.80221  
60.14126 	0.86075  	2.37771  	2.80239  
60.14236 	0.86044  	2.37763  	2.80293  
60.14346 	0.86027  	2.37994  	2.80455  
60.14439 	0.86052  	2.38018  	2.80450  
60.14549 	0.86109  	2.37987  	2.80337  
60.14658 	0.86178  	2.37930  	2.80200  
60.14768 	0.86195  	2.37933  	2.80182  
60.14862 	0.86150  	2.38005  	2.80350  
60.14972 	0.86128  	2.37941  	2.80415  
60.15081 	0.86190  	2.37819  	2.80322  
60.15175 	0.86200  	2.37765  	2.80348  
60.15285 	0.86186  	2.37832  	2.80452  
60.15394 	0.86212  	2.37750  	2.80385  
60.15504 	0.86243  	2.37763  	2.80304  
60.15598 	0.86231  	2.37944  	2.80374  
60.15707 	0.86148  	2.37948  	2.80409  
60.15816 	0.86101  	2.37885  	2.80376  
60.15910 	0.86038  	2.37922  	2.80452  
60.16020 	0.86040  	2.37900  	2.80444  
60.16130 	0.86053  	2.37741  	2.80311  
60.16239 	0.86069  	2.37684  	2.80241  
60.16333 	0.86142  	2.37754  	2.80219  
60.16443 	0.86154  	2.37913  	2.80289  
60.16552 	0.86182  	2.38024  	2.80370  
60.16646 	0.86256  	2.38046  	2.80315  
60.16756 	0.86311  	2.38018  	2.80261  
60.16865 	0.86379  	2.38070  	2.80254  
60.16975 	0.86336  	2.38109  	2.80400  
60.17069 	0.86321  	2.37996  	2.80354  
60.17178 	0.86284  	2.37815  	2.80282  
60.17287 	0.86291  	2.37802  	2.80228  
60.17381 	0.86221  	2.37835  	2.80315  
60.17491 	0.86184  	2.37804  	2.80267  
60.17601 	0.86171  	2.37941  	2.80298  
60.17710 	0.86199  	2.38146  	2.80348  
60.17804 	0.86200  	2.38131  	2.80337  
60.17913 	0.86176  	2.38035  	2.80315  
60.18023 	0.86182  	2.38053  	2.80322  
60.18117 	0.86205  	2.37891  	2.80230  
60.18227 	0.86170  	2.37848  	2.80289  
60.18336 	0.86181  	2.37821  	2.80254  
60.18446 	0.86240  	2.37924  	2.80319  
60.18539 	0.86294  	2.38018  	2.80343  
60.18649 	0.86316  	2.38109  	2.80380  
60.18758 	0.86338  	2.38129  	2.80380  
60.18853 	0.86400  	2.38114  	2.80319  
60.18962 	0.86427  	2.37978  	2.80221  
60.19072 	0.86302  	2.37972  	2.80372  
60.19181 	0.86283  	2.37883  	2.80313  
60.19275 	0.86233  	2.37723  	2.80287  
60.19384 	0.86216  	2.37754  	2.80298  
60.19494 	0.86202  	2.37763  	2.80278  
60.19588 	0.86188  	2.37944  	2.80396  
60.19697 	0.86195  	2.38072  	2.80452  
60.19807 	0.86259  	2.38085  	2.80352  
60.19917 	0.86326  	2.38007  	2.80237  
60.20010 	0.86260  	2.38087  	2.80359  
60.20120 	0.86259  	2.38053  	2.80389  
60.20229 	0.86247  	2.37985  	2.80407  
60.20323 	0.86218  	2.37872  	2.80398  
60.20433 	0.86241  	2.37904  	2.80415  
60.20542 	0.86251  	2.37850  	2.80396  
60.20652 	0.86260  	2.37917  	2.80385  
60.20746 	0.86298  	2.38055  	2.80396  
60.20855 	0.86275  	2.38127  	2.80476  
60.20964 	0.86302  	2.38057  	2.80385  
60.21059 	0.86265  	2.38015  	2.80418  
60.21168 	0.86253  	2.38013  	2.80439  
60.21278 	0.86229  	2.38039  	2.80507  
60.21387 	0.86244  	2.37885  	2.80372  
60.21481 	0.86220  	2.37843  	2.80398  
60.21590 	0.86263  	2.37774  	2.80271  
60.21700 	0.86295  	2.37896  	2.80330  
60.21794 	0.86288  	2.38013  	2.80400  
60.21903 	0.86296  	2.38135  	2.80487  
60.22013 	0.86373  	2.38072  	2.80352  
60.22123 	0.86395  	2.38111  	2.80359  
60.22216 	0.86367  	2.38155  	2.80422  
60.22326 	0.86282  	2.38118  	2.80524  
60.22435 	0.86270  	2.37861  	2.80402  
60.22529 	0.86286  	2.37699  	2.80274  
60.22639 	0.86246  	2.37778  	2.80411  
60.22748 	0.86287  	2.37752  	2.80356  
60.22858 	0.86277  	2.37992  	2.80507  
60.22951 	0.86324  	2.38107  	2.80529  
60.23061 	0.86322  	2.38116  	2.80566  
